"","overall_pick","draft_team","total_games_played","educational_prestige","pick_bucket","career_bucket","team_conference"
"1390","3","BOS","365","PowerSchool","Top5","AverageCareer","Eastern"
"1391","4","PHO","291","PowerSchool","Top5","AverageCareer","Western"
"1392","5","SAC","322","PowerSchool","Top5","AverageCareer","Western"
"1393","6","ORL","136","OtherCollege","Lottery","ShortCareer","Eastern"
"1394","7","MIN","282","OtherCollege","Lottery","AverageCareer","Western"
"1395","8","NYK","269","NonCollegiate","Lottery","AverageCareer","Eastern"
"1396","9","DAL","216","OtherCollege","Lottery","AverageCareer","Western"
"1397","10","SAC","182","OtherCollege","Lottery","ShortCareer","Western"
"1398","11","CHO","309","PowerSchool","Lottery","AverageCareer","Eastern"
"1399","12","DET","297","PowerSchool","Lottery","AverageCareer","Eastern"
"1400","13","DEN","345","PowerSchool","Lottery","AverageCareer","Western"
"1401","14","MIA","343","PowerSchool","Lottery","AverageCareer","Eastern"
"1402","15","POR","255","OtherCollege","MidtoLateFirst","AverageCareer","Western"
"1403","16","CHI","22","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1404","17","MIL","146","OtherCollege","MidtoLateFirst","ShortCareer","Eastern"
"1405","18","IND","146","PowerSchool","MidtoLateFirst","ShortCareer","Eastern"
"1406","19","ATL","293","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1407","20","POR","142","PowerSchool","MidtoLateFirst","ShortCareer","Western"
"1408","21","OKC","204","NonCollegiate","MidtoLateFirst","AverageCareer","Western"
"1409","22","BRK","341","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1410","23","TOR","301","PowerSchool","MidtoLateFirst","AverageCareer","Eastern"
"1411","24","UTA","26","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1412","25","ORL","28","NonCollegiate","MidtoLateFirst","ShortCareer","Eastern"
"1413","26","POR","75","OtherCollege","MidtoLateFirst","ShortCareer","Western"
"1414","27","BRK","342","OtherCollege","MidtoLateFirst","AverageCareer","Eastern"
"1415","28","LAL","167","OtherCollege","MidtoLateFirst","ShortCareer","Western"
