"","mpg","overall_pick","pick_bucket","educational_prestige","team_conference"
"253",32.9,37,"SecondRound","PowerSchool","Western"
"256",9.3,40,"SecondRound","OtherCollege","Eastern"
"258",9.7,42,"SecondRound","PowerSchool","Western"
"259",7.2,43,"SecondRound","OtherCollege","Western"
"261",23.5,45,"SecondRound","OtherCollege","Western"
"262",4.2,46,"SecondRound","PowerSchool","Western"
"263",17.4,47,"SecondRound","OtherCollege","Western"
"264",4.1,48,"SecondRound","OtherCollege","Western"
"268",10.4,52,"SecondRound","OtherCollege","Western"
"271",36.8,1,"Top5","OtherCollege","Eastern"
"272",36,2,"Top5","OtherCollege","Western"
"273",33.9,3,"Top5","PowerSchool","Eastern"
"274",26.2,4,"Top5","PowerSchool","Western"
"275",30.3,5,"Top5","OtherCollege","Eastern"
"276",22.3,6,"Lottery","OtherCollege","Eastern"
"277",25.1,7,"Lottery","OtherCollege","Western"
"278",28.3,8,"Lottery","OtherCollege","Western"
"279",18.2,9,"Lottery","OtherCollege","Eastern"
"280",34.4,10,"Lottery","OtherCollege","Western"
"281",19,11,"Lottery","OtherCollege","Western"
"282",21.1,12,"Lottery","OtherCollege","Eastern"
"283",30.3,13,"Lottery","OtherCollege","Western"
"284",9.1,14,"Lottery","OtherCollege","Eastern"
"285",18.5,15,"MidtoLateFirst","OtherCollege","Eastern"
"286",17.2,16,"MidtoLateFirst","PowerSchool","Western"
"287",24.2,17,"MidtoLateFirst","OtherCollege","Western"
"288",13.9,18,"MidtoLateFirst","OtherCollege","Eastern"
"289",14.2,19,"MidtoLateFirst","OtherCollege","Western"
"290",14.7,20,"MidtoLateFirst","OtherCollege","Eastern"
"291",15.9,21,"MidtoLateFirst","OtherCollege","Eastern"
"292",11,22,"MidtoLateFirst","OtherCollege","Western"
"293",28.3,23,"MidtoLateFirst","OtherCollege","Western"
"294",16.7,24,"MidtoLateFirst","OtherCollege","Eastern"
"295",18.6,25,"MidtoLateFirst","PowerSchool","Western"
"296",22.3,26,"MidtoLateFirst","OtherCollege","Eastern"
"297",10.2,27,"MidtoLateFirst","OtherCollege","Eastern"
"299",9.8,29,"MidtoLateFirst","PowerSchool","Western"
"300",20.4,30,"MidtoLateFirst","OtherCollege","Western"
"302",14.8,32,"SecondRound","OtherCollege","Eastern"
"303",19.1,33,"SecondRound","OtherCollege","Eastern"
"304",10.5,34,"SecondRound","OtherCollege","Eastern"
"305",23.5,35,"SecondRound","OtherCollege","Western"
"307",10.1,37,"SecondRound","PowerSchool","Western"
"308",10.5,38,"SecondRound","PowerSchool","Western"
"309",9,39,"SecondRound","OtherCollege","Western"
"310",5.3,40,"SecondRound","OtherCollege","Eastern"
"313",6,43,"SecondRound","OtherCollege","Western"
"315",9.6,45,"SecondRound","PowerSchool","Western"
"316",27.2,46,"SecondRound","OtherCollege","Eastern"
"317",12.2,47,"SecondRound","OtherCollege","Western"
"320",2.3,50,"SecondRound","OtherCollege","Western"
"321",14.9,51,"SecondRound","OtherCollege","Western"
"322",18.6,52,"SecondRound","OtherCollege","Western"
"324",15.3,54,"SecondRound","NonCollegiate","Western"
"325",26.2,1,"Top5","OtherCollege","Western"
"326",27.6,2,"Top5","OtherCollege","Western"
"327",31.2,3,"Top5","OtherCollege","Eastern"
"328",32.7,4,"Top5","OtherCollege","Eastern"
"329",34.5,5,"Top5","NonCollegiate","Western"
"330",30.6,6,"Lottery","OtherCollege","Western"
"331",33.2,7,"Lottery","OtherCollege","Eastern"
"332",13.7,8,"Lottery","OtherCollege","Western"
"333",16.1,9,"Lottery","PowerSchool","Eastern"
