"","overall_pick","pick_bucket","educational_prestige","team_conference","long_career_label"
"510",13,"Lottery","OtherCollege","Eastern","NotLongCareer"
"511",14,"Lottery","OtherCollege","Western","NotLongCareer"
"512",15,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"513",16,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"514",17,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"515",18,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"516",19,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"517",20,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"518",21,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"519",22,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"520",23,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"521",24,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"522",25,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"523",26,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"524",27,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"525",28,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"526",29,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"527",30,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"528",31,"SecondRound","PowerSchool","Western","LongCareer"
"529",32,"SecondRound","NonCollegiate","Western","LongCareer"
"530",33,"SecondRound","PowerSchool","Western","NotLongCareer"
"531",34,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"532",35,"SecondRound","NonCollegiate","Western","NotLongCareer"
"533",36,"SecondRound","OtherCollege","Western","NotLongCareer"
"534",37,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"535",38,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"536",39,"SecondRound","OtherCollege","Eastern","LongCareer"
"537",40,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"538",41,"SecondRound","OtherCollege","Western","LongCareer"
"539",42,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"540",43,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"541",44,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"542",45,"SecondRound","PowerSchool","Western","NotLongCareer"
"543",46,"SecondRound","PowerSchool","Western","NotLongCareer"
"544",47,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"545",48,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"546",49,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"549",52,"SecondRound","OtherCollege","Western","NotLongCareer"
"550",53,"SecondRound","OtherCollege","Western","LongCareer"
"551",54,"SecondRound","OtherCollege","Western","NotLongCareer"
"552",55,"SecondRound","OtherCollege","Western","LongCareer"
"553",56,"SecondRound","PowerSchool","Western","NotLongCareer"
"554",57,"SecondRound","OtherCollege","Western","NotLongCareer"
"555",58,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"556",1,"Top5","PowerSchool","Eastern","LongCareer"
"557",2,"Top5","OtherCollege","Western","LongCareer"
"558",3,"Top5","PowerSchool","Western","LongCareer"
"559",4,"Top5","OtherCollege","Western","LongCareer"
"560",5,"Top5","NonCollegiate","Eastern","NotLongCareer"
"561",6,"Lottery","OtherCollege","Western","LongCareer"
"562",7,"Lottery","PowerSchool","Eastern","LongCareer"
"563",8,"Lottery","OtherCollege","Eastern","LongCareer"
"564",9,"Lottery","OtherCollege","Western","LongCareer"
"565",10,"Lottery","OtherCollege","Eastern","LongCareer"
"566",11,"Lottery","PowerSchool","Eastern","NotLongCareer"
"567",12,"Lottery","OtherCollege","Eastern","NotLongCareer"
"568",13,"Lottery","PowerSchool","Western","LongCareer"
"569",14,"Lottery","PowerSchool","Western","NotLongCareer"
"571",16,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"572",17,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"573",18,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"574",19,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"575",20,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"576",21,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"577",22,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"578",23,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"579",24,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"580",25,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"581",26,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"582",27,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"583",28,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"584",29,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"585",30,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"587",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"588",33,"SecondRound","OtherCollege","Western","NotLongCareer"
"589",34,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"590",35,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"591",36,"SecondRound","NonCollegiate","Western","NotLongCareer"
"592",37,"SecondRound","OtherCollege","Western","NotLongCareer"
"593",38,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"594",39,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"595",40,"SecondRound","NonCollegiate","Western","NotLongCareer"
"596",41,"SecondRound","OtherCollege","Western","LongCareer"
"598",43,"SecondRound","OtherCollege","Western","NotLongCareer"
"600",45,"SecondRound","PowerSchool","Western","NotLongCareer"
"602",47,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"604",49,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"608",53,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"611",56,"SecondRound","OtherCollege","Western","NotLongCareer"
"612",57,"SecondRound","NonCollegiate","Western","LongCareer"
"614",1,"Top5","PowerSchool","Eastern","LongCareer"
"615",2,"Top5","OtherCollege","Western","LongCareer"
"616",3,"Top5","NonCollegiate","Western","NotLongCareer"
"617",4,"Top5","OtherCollege","Eastern","NotLongCareer"
"618",5,"Top5","OtherCollege","Eastern","LongCareer"
"619",6,"Lottery","PowerSchool","Eastern","NotLongCareer"
"620",7,"Lottery","OtherCollege","Eastern","NotLongCareer"
"621",8,"Lottery","OtherCollege","Eastern","LongCareer"
"622",9,"Lottery","OtherCollege","Western","LongCareer"
"623",10,"Lottery","OtherCollege","Eastern","LongCareer"
"624",11,"Lottery","PowerSchool","Eastern","NotLongCareer"
"625",12,"Lottery","OtherCollege","Western","NotLongCareer"
"626",13,"Lottery","OtherCollege","Eastern","NotLongCareer"
"627",14,"Lottery","OtherCollege","Eastern","NotLongCareer"
"628",15,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"629",16,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"630",17,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"631",18,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"632",19,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"633",20,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"634",21,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"635",22,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"636",23,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"637",24,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"638",25,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"639",26,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"640",27,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"641",28,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"642",29,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"643",30,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"644",31,"SecondRound","OtherCollege","Western","NotLongCareer"
"645",32,"SecondRound","PowerSchool","Eastern","NotLongCareer"
"646",33,"SecondRound","PowerSchool","Eastern","LongCareer"
"647",34,"SecondRound","PowerSchool","Eastern","NotLongCareer"
"648",35,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"649",36,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"650",37,"SecondRound","OtherCollege","Eastern","LongCareer"
"651",38,"SecondRound","OtherCollege","Western","LongCareer"
"652",39,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"653",40,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"655",42,"SecondRound","NonCollegiate","Western","NotLongCareer"
"656",43,"SecondRound","OtherCollege","Eastern","LongCareer"
"657",44,"SecondRound","OtherCollege","Eastern","LongCareer"
"658",45,"SecondRound","OtherCollege","Western","NotLongCareer"
"662",49,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"663",50,"SecondRound","OtherCollege","Western","NotLongCareer"
"664",51,"SecondRound","NonCollegiate","Western","NotLongCareer"
"665",52,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"666",53,"SecondRound","OtherCollege","Western","NotLongCareer"
"668",55,"SecondRound","OtherCollege","Western","NotLongCareer"
"672",1,"Top5","NonCollegiate","Eastern","LongCareer"
"673",2,"Top5","NonCollegiate","Western","LongCareer"
"674",3,"Top5","NonCollegiate","Eastern","LongCareer"
"675",4,"Top5","NonCollegiate","Eastern","LongCareer"
"676",5,"Top5","OtherCollege","Western","LongCareer"
"677",6,"Lottery","PowerSchool","Western","LongCareer"
"678",7,"Lottery","OtherCollege","Eastern","NotLongCareer"
"679",8,"Lottery","NonCollegiate","Eastern","LongCareer"
"680",9,"Lottery","OtherCollege","Eastern","NotLongCareer"
"681",10,"Lottery","OtherCollege","Eastern","LongCareer"
"682",11,"Lottery","OtherCollege","Eastern","NotLongCareer"
"683",12,"Lottery","NonCollegiate","Western","LongCareer"
"684",13,"Lottery","OtherCollege","Western","LongCareer"
"685",14,"Lottery","OtherCollege","Western","LongCareer"
"686",15,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"687",16,"MidtoLateFirst","PowerSchool","Western","NotLongCareer"
"688",17,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"689",18,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"690",19,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"691",20,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"692",21,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"693",22,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"694",23,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"695",24,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"696",25,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"697",26,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"698",27,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"699",28,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"700",30,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"701",31,"SecondRound","OtherCollege","Western","LongCareer"
"702",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"703",33,"SecondRound","OtherCollege","Western","NotLongCareer"
"704",34,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"705",35,"SecondRound","OtherCollege","Eastern","LongCareer"
"706",36,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"707",37,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"708",38,"SecondRound","NonCollegiate","Eastern","LongCareer"
"710",40,"SecondRound","PowerSchool","Western","LongCareer"
"711",41,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"712",42,"SecondRound","OtherCollege","Western","LongCareer"
"715",45,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"716",46,"SecondRound","OtherCollege","Western","NotLongCareer"
"718",48,"SecondRound","NonCollegiate","Western","NotLongCareer"
"719",49,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"720",50,"SecondRound","OtherCollege","Western","NotLongCareer"
"721",51,"SecondRound","OtherCollege","Western","NotLongCareer"
"723",53,"SecondRound","OtherCollege","Western","LongCareer"
"724",54,"SecondRound","PowerSchool","Western","NotLongCareer"
"727",57,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"729",1,"Top5","NonCollegiate","Western","LongCareer"
"730",2,"Top5","PowerSchool","Eastern","NotLongCareer"
"731",3,"Top5","PowerSchool","Western","LongCareer"
"732",4,"Top5","PowerSchool","Western","LongCareer"
"733",5,"Top5","NonCollegiate","Western","NotLongCareer"
"734",6,"Lottery","OtherCollege","Eastern","NotLongCareer"
"735",7,"Lottery","NonCollegiate","Eastern","LongCareer"
"736",8,"Lottery","OtherCollege","Western","LongCareer"
"737",9,"Lottery","NonCollegiate","Western","LongCareer"
"738",10,"Lottery","PowerSchool","Eastern","LongCareer"
"739",11,"Lottery","PowerSchool","Eastern","LongCareer"
"740",12,"Lottery","OtherCollege","Western","NotLongCareer"
"741",13,"Lottery","OtherCollege","Eastern","NotLongCareer"
"742",14,"Lottery","OtherCollege","Eastern","NotLongCareer"
"743",15,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"744",16,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"745",17,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"746",18,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"747",19,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"748",20,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"749",21,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"750",22,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"751",23,"MidtoLateFirst","PowerSchool","Eastern","LongCareer"
"752",24,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"753",25,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"754",26,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"755",27,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"756",28,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"758",31,"SecondRound","OtherCollege","Eastern","LongCareer"
"759",32,"SecondRound","OtherCollege","Western","NotLongCareer"
"760",33,"SecondRound","OtherCollege","Western","NotLongCareer"
"761",34,"SecondRound","PowerSchool","Eastern","LongCareer"
"762",35,"SecondRound","PowerSchool","Eastern","LongCareer"
"764",37,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"765",38,"SecondRound","OtherCollege","Western","NotLongCareer"
"767",40,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"768",41,"SecondRound","NonCollegiate","Western","NotLongCareer"
"769",42,"SecondRound","OtherCollege","Eastern","LongCareer"
"771",44,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"773",46,"SecondRound","PowerSchool","Western","LongCareer"
"774",47,"SecondRound","OtherCollege","Western","NotLongCareer"
"775",48,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"777",50,"SecondRound","OtherCollege","Eastern","LongCareer"
"780",53,"SecondRound","OtherCollege","Eastern","LongCareer"
"781",54,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"783",56,"SecondRound","NonCollegiate","Western","LongCareer"
"784",57,"SecondRound","OtherCollege","Western","NotLongCareer"
"785",58,"SecondRound","OtherCollege","Western","NotLongCareer"
"786",1,"Top5","NonCollegiate","Eastern","LongCareer"
"787",2,"Top5","NonCollegiate","Eastern","LongCareer"
"788",3,"Top5","OtherCollege","Western","LongCareer"
"789",4,"Top5","OtherCollege","Eastern","LongCareer"
"790",5,"Top5","OtherCollege","Eastern","LongCareer"
"791",6,"Lottery","OtherCollege","Western","LongCareer"
"792",7,"Lottery","PowerSchool","Eastern","LongCareer"
"793",8,"Lottery","OtherCollege","Eastern","NotLongCareer"
"794",9,"Lottery","OtherCollege","Eastern","NotLongCareer"
"795",10,"Lottery","OtherCollege","Eastern","NotLongCareer"
"796",11,"Lottery","NonCollegiate","Western","LongCareer"
"797",12,"Lottery","PowerSchool","Western","LongCareer"
"798",13,"Lottery","OtherCollege","Western","NotLongCareer"
"799",14,"Lottery","OtherCollege","Western","LongCareer"
"800",15,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"801",16,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"802",17,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"803",18,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"804",19,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"805",20,"MidtoLateFirst","PowerSchool","Eastern","LongCareer"
"806",21,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"807",22,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"808",23,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"809",24,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"810",25,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"811",26,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"812",27,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"813",28,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"814",29,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"815",30,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"816",31,"SecondRound","PowerSchool","Eastern","LongCareer"
"817",32,"SecondRound","OtherCollege","Western","LongCareer"
"818",33,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"822",37,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"823",38,"SecondRound","OtherCollege","Eastern","LongCareer"
"824",39,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"825",40,"SecondRound","OtherCollege","Western","NotLongCareer"
"826",41,"SecondRound","OtherCollege","Western","LongCareer"
"827",42,"SecondRound","NonCollegiate","Eastern","LongCareer"
"828",43,"SecondRound","PowerSchool","Eastern","LongCareer"
"830",45,"SecondRound","OtherCollege","Eastern","LongCareer"
"832",47,"SecondRound","OtherCollege","Western","LongCareer"
"833",48,"SecondRound","NonCollegiate","Western","NotLongCareer"
"834",49,"SecondRound","OtherCollege","Eastern","LongCareer"
"836",51,"SecondRound","OtherCollege","Eastern","LongCareer"
"841",56,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"843",58,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"844",1,"Top5","NonCollegiate","Eastern","LongCareer"
"845",2,"Top5","PowerSchool","Eastern","LongCareer"
"846",3,"Top5","PowerSchool","Eastern","LongCareer"
"847",4,"Top5","NonCollegiate","Western","LongCareer"
"848",5,"Top5","OtherCollege","Eastern","LongCareer"
"849",6,"Lottery","OtherCollege","Eastern","NotLongCareer"
"850",7,"Lottery","PowerSchool","Western","LongCareer"
"851",8,"Lottery","OtherCollege","Eastern","NotLongCareer"
"852",9,"Lottery","OtherCollege","Eastern","LongCareer"
"853",10,"Lottery","OtherCollege","Eastern","NotLongCareer"
"854",11,"Lottery","NonCollegiate","Western","LongCareer"
"855",12,"Lottery","NonCollegiate","Western","NotLongCareer"
"856",13,"Lottery","NonCollegiate","Western","LongCareer"
"857",14,"Lottery","OtherCollege","Western","LongCareer"
"858",15,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"859",16,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"860",17,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"861",18,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"862",19,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"863",20,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"864",21,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"865",22,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"866",23,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"867",24,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"868",25,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"869",26,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"870",27,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"871",28,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"872",29,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"873",30,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"874",31,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"875",32,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"876",33,"SecondRound","OtherCollege","Western","NotLongCareer"
"877",34,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"878",35,"SecondRound","OtherCollege","Western","NotLongCareer"
"879",36,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"880",37,"SecondRound","OtherCollege","Eastern","LongCareer"
"881",38,"SecondRound","PowerSchool","Eastern","LongCareer"
"883",40,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"886",43,"SecondRound","PowerSchool","Eastern","LongCareer"
"888",45,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"889",46,"SecondRound","NonCollegiate","Western","NotLongCareer"
"890",47,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"893",50,"SecondRound","NonCollegiate","Western","NotLongCareer"
"896",53,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"898",55,"SecondRound","OtherCollege","Western","NotLongCareer"
"903",1,"Top5","OtherCollege","Eastern","LongCareer"
"904",2,"Top5","OtherCollege","Eastern","LongCareer"
"905",3,"Top5","OtherCollege","Western","LongCareer"
"906",4,"Top5","OtherCollege","Western","LongCareer"
"907",5,"Top5","OtherCollege","Eastern","LongCareer"
"908",6,"Lottery","NonCollegiate","Western","LongCareer"
"909",7,"Lottery","PowerSchool","Eastern","LongCareer"
"910",8,"Lottery","OtherCollege","Eastern","LongCareer"
"911",9,"Lottery","OtherCollege","Western","NotLongCareer"
"912",10,"Lottery","NonCollegiate","Western","NotLongCareer"
"914",12,"Lottery","NonCollegiate","Western","NotLongCareer"
"915",13,"Lottery","OtherCollege","Eastern","NotLongCareer"
"916",14,"Lottery","OtherCollege","Western","NotLongCareer"
"917",15,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"918",16,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"919",17,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"920",18,"MidtoLateFirst","NonCollegiate","Eastern","LongCareer"
"921",19,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"922",20,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"923",21,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"924",22,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"925",23,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"926",24,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"927",25,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"928",26,"MidtoLateFirst","PowerSchool","Eastern","LongCareer"
"929",27,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"930",28,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"931",29,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"932",30,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"933",31,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"934",32,"SecondRound","PowerSchool","Western","NotLongCareer"
"935",33,"SecondRound","OtherCollege","Western","LongCareer"
"936",34,"SecondRound","NonCollegiate","Western","LongCareer"
"938",36,"SecondRound","NonCollegiate","Eastern","LongCareer"
"939",37,"SecondRound","OtherCollege","Western","LongCareer"
"940",38,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"941",39,"SecondRound","OtherCollege","Western","NotLongCareer"
"942",40,"SecondRound","NonCollegiate","Western","LongCareer"
"943",41,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"944",42,"SecondRound","OtherCollege","Western","NotLongCareer"
"945",43,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"946",44,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"947",45,"SecondRound","NonCollegiate","Eastern","LongCareer"
"949",47,"SecondRound","PowerSchool","Western","NotLongCareer"
"950",48,"SecondRound","NonCollegiate","Western","NotLongCareer"
"951",49,"SecondRound","NonCollegiate","Eastern","LongCareer"
"952",50,"SecondRound","OtherCollege","Eastern","LongCareer"
"953",51,"SecondRound","OtherCollege","Western","NotLongCareer"
"955",53,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"956",54,"SecondRound","PowerSchool","Eastern","NotLongCareer"
"957",55,"SecondRound","OtherCollege","Western","NotLongCareer"
"958",56,"SecondRound","NonCollegiate","Eastern","LongCareer"
"959",57,"SecondRound","NonCollegiate","Western","LongCareer"
"960",58,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"962",60,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"963",1,"Top5","NonCollegiate","Eastern","LongCareer"
"964",2,"Top5","OtherCollege","Eastern","LongCareer"
"965",3,"Top5","OtherCollege","Eastern","NotLongCareer"
"966",4,"Top5","OtherCollege","Western","NotLongCareer"
"967",5,"Top5","PowerSchool","Eastern","NotLongCareer"
"968",6,"Lottery","OtherCollege","Western","NotLongCareer"
"969",7,"Lottery","PowerSchool","Eastern","LongCareer"
"970",8,"Lottery","PowerSchool","Western","LongCareer"
"971",9,"Lottery","OtherCollege","Western","NotLongCareer"
"972",10,"Lottery","NonCollegiate","Western","NotLongCareer"
"973",11,"Lottery","PowerSchool","Eastern","LongCareer"
"974",12,"Lottery","PowerSchool","Western","NotLongCareer"
"975",13,"Lottery","NonCollegiate","Eastern","LongCareer"
"976",14,"Lottery","OtherCollege","Western","LongCareer"
"977",15,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"978",16,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"979",17,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"980",18,"MidtoLateFirst","NonCollegiate","Eastern","NotLongCareer"
"981",19,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"982",20,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"983",21,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"984",22,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"985",23,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"986",24,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"987",25,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"988",26,"MidtoLateFirst","PowerSchool","Western","LongCareer"
"989",27,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"990",28,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"991",29,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"992",30,"MidtoLateFirst","NonCollegiate","Western","NotLongCareer"
"993",31,"SecondRound","PowerSchool","Western","NotLongCareer"
"994",32,"SecondRound","OtherCollege","Western","LongCareer"
"995",33,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"996",34,"SecondRound","OtherCollege","Western","NotLongCareer"
"997",35,"SecondRound","OtherCollege","Eastern","LongCareer"
"998",36,"SecondRound","OtherCollege","Western","NotLongCareer"
"999",37,"SecondRound","OtherCollege","Western","NotLongCareer"
"1000",38,"SecondRound","NonCollegiate","Western","NotLongCareer"
"1001",39,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"1003",41,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"1004",42,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"1005",43,"SecondRound","NonCollegiate","Western","NotLongCareer"
"1007",45,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"1008",46,"SecondRound","OtherCollege","Western","NotLongCareer"
"1009",47,"SecondRound","OtherCollege","Western","LongCareer"
"1011",49,"SecondRound","OtherCollege","Western","NotLongCareer"
