"","total_minutes_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"376",9978,52,"SecondRound","OtherCollege","Eastern"
"379",4,55,"SecondRound","OtherCollege","Western"
"380",4505,56,"SecondRound","OtherCollege","Western"
"381",32,57,"SecondRound","OtherCollege","Eastern"
"382",5374,58,"SecondRound","OtherCollege","Eastern"
"383",37584,1,"Top5","OtherCollege","Eastern"
"384",28684,2,"Top5","OtherCollege","Eastern"
"385",28882,3,"Top5","OtherCollege","Western"
"386",31891,4,"Top5","OtherCollege","Eastern"
"387",46344,5,"Top5","PowerSchool","Western"
"388",31531,6,"Lottery","PowerSchool","Eastern"
"389",18535,7,"Lottery","OtherCollege","Western"
"390",16929,8,"Lottery","PowerSchool","Eastern"
"391",7612,9,"Lottery","PowerSchool","Western"
"392",24003,10,"Lottery","OtherCollege","Eastern"
"393",2500,11,"Lottery","OtherCollege","Western"
"394",11608,12,"Lottery","OtherCollege","Eastern"
"395",48637,13,"Lottery","NonCollegiate","Western"
"396",26966,14,"Lottery","NonCollegiate","Western"
"397",38069,15,"MidtoLateFirst","OtherCollege","Western"
"398",11702,16,"MidtoLateFirst","PowerSchool","Western"
"399",27364,17,"MidtoLateFirst","NonCollegiate","Western"
"400",6143,18,"MidtoLateFirst","OtherCollege","Eastern"
"401",10374,19,"MidtoLateFirst","PowerSchool","Eastern"
"402",22965,20,"MidtoLateFirst","NonCollegiate","Eastern"
"403",91,21,"MidtoLateFirst","OtherCollege","Eastern"
"404",2309,22,"MidtoLateFirst","OtherCollege","Western"
"405",144,23,"MidtoLateFirst","NonCollegiate","Western"
"406",32719,24,"MidtoLateFirst","OtherCollege","Western"
"407",951,25,"MidtoLateFirst","NonCollegiate","Western"
"408",12755,26,"MidtoLateFirst","OtherCollege","Eastern"
"409",1097,27,"MidtoLateFirst","PowerSchool","Eastern"
"410",525,28,"MidtoLateFirst","OtherCollege","Eastern"
"411",4566,29,"MidtoLateFirst","PowerSchool","Eastern"
"412",13924,30,"MidtoLateFirst","OtherCollege","Western"
"413",1508,31,"SecondRound","OtherCollege","Eastern"
"415",7640,33,"SecondRound","OtherCollege","Eastern"
"419",15927,37,"SecondRound","OtherCollege","Western"
"420",268,38,"SecondRound","OtherCollege","Eastern"
"423",108,41,"SecondRound","OtherCollege","Western"
"424",2684,42,"SecondRound","OtherCollege","Western"
"425",154,43,"SecondRound","OtherCollege","Western"
"426",13404,44,"SecondRound","OtherCollege","Western"
"428",229,46,"SecondRound","OtherCollege","Western"
"430",4316,48,"SecondRound","OtherCollege","Eastern"
"431",968,49,"SecondRound","OtherCollege","Eastern"
"433",1095,51,"SecondRound","OtherCollege","Western"
"434",1634,52,"SecondRound","PowerSchool","Eastern"
"435",48,53,"SecondRound","OtherCollege","Eastern"
"436",15946,54,"SecondRound","OtherCollege","Western"
"438",931,56,"SecondRound","OtherCollege","Eastern"
"439",598,57,"SecondRound","OtherCollege","Western"
"441",47368,1,"Top5","OtherCollege","Western"
"442",18150,2,"Top5","OtherCollege","Eastern"
"443",33008,3,"Top5","OtherCollege","Eastern"
"444",19671,4,"Top5","OtherCollege","Western"
"445",17649,5,"Top5","OtherCollege","Western"
"446",13418,6,"Lottery","PowerSchool","Eastern"
"447",21336,7,"Lottery","PowerSchool","Eastern"
"448",13060,8,"Lottery","OtherCollege","Western"
"449",30658,9,"Lottery","NonCollegiate","Eastern"
"450",8832,10,"Lottery","PowerSchool","Eastern"
"451",4807,11,"Lottery","OtherCollege","Western"
"452",11480,12,"Lottery","OtherCollege","Eastern"
"453",17975,13,"Lottery","PowerSchool","Eastern"
"454",13324,14,"Lottery","OtherCollege","Western"
"455",10617,15,"MidtoLateFirst","OtherCollege","Western"
"456",18176,16,"MidtoLateFirst","OtherCollege","Eastern"
"457",866,17,"MidtoLateFirst","OtherCollege","Eastern"
"458",2157,18,"MidtoLateFirst","NonCollegiate","Western"
"459",8372,19,"MidtoLateFirst","PowerSchool","Eastern"
"460",111,20,"MidtoLateFirst","OtherCollege","Western"
"461",13752,21,"MidtoLateFirst","OtherCollege","Eastern"
"462",809,22,"MidtoLateFirst","OtherCollege","Eastern"
"463",16790,23,"MidtoLateFirst","OtherCollege","Western"
"464",1234,24,"MidtoLateFirst","OtherCollege","Western"
"465",2253,25,"MidtoLateFirst","OtherCollege","Eastern"
"466",1973,26,"MidtoLateFirst","OtherCollege","Eastern"
"467",12658,27,"MidtoLateFirst","PowerSchool","Western"
"468",449,28,"MidtoLateFirst","OtherCollege","Eastern"
"471",399,31,"SecondRound","PowerSchool","Eastern"
"472",92,32,"SecondRound","OtherCollege","Western"
"473",216,33,"SecondRound","NonCollegiate","Eastern"
"474",395,34,"SecondRound","OtherCollege","Western"
"475",110,35,"SecondRound","OtherCollege","Eastern"
"476",103,36,"SecondRound","OtherCollege","Eastern"
"477",7572,37,"SecondRound","OtherCollege","Western"
"478",632,38,"SecondRound","OtherCollege","Eastern"
"479",15552,39,"SecondRound","OtherCollege","Western"
"481",80,41,"SecondRound","PowerSchool","Western"
"482",27398,42,"SecondRound","OtherCollege","Western"
"484",6182,44,"SecondRound","OtherCollege","Eastern"
"485",146,45,"SecondRound","OtherCollege","Eastern"
"486",2300,46,"SecondRound","OtherCollege","Eastern"
"487",12610,47,"SecondRound","PowerSchool","Western"
"488",5542,48,"SecondRound","NonCollegiate","Eastern"
"490",3985,50,"SecondRound","OtherCollege","Eastern"
"491",740,51,"SecondRound","PowerSchool","Western"
"494",13981,54,"SecondRound","OtherCollege","Western"
"498",13129,1,"Top5","OtherCollege","Western"
"499",33962,2,"Top5","OtherCollege","Western"
"500",14545,3,"Top5","PowerSchool","Western"
"501",37638,4,"Top5","OtherCollege","Eastern"
"502",46367,5,"Top5","OtherCollege","Western"
"503",6243,6,"Lottery","OtherCollege","Western"
"504",23188,7,"Lottery","OtherCollege","Western"
"505",22368,8,"Lottery","OtherCollege","Eastern"
"506",51368,9,"Lottery","NonCollegiate","Eastern"
"507",45880,10,"Lottery","PowerSchool","Eastern"
"508",15133,11,"Lottery","OtherCollege","Eastern"
"509",8789,12,"Lottery","OtherCollege","Eastern"
"510",7971,13,"Lottery","OtherCollege","Eastern"
"511",7490,14,"Lottery","OtherCollege","Western"
"512",17584,15,"MidtoLateFirst","OtherCollege","Eastern"
"513",3970,16,"MidtoLateFirst","OtherCollege","Western"
"514",17983,17,"MidtoLateFirst","NonCollegiate","Western"
"515",90,18,"MidtoLateFirst","NonCollegiate","Western"
"516",11062,19,"MidtoLateFirst","OtherCollege","Eastern"
"517",2130,20,"MidtoLateFirst","PowerSchool","Eastern"
"518",21927,21,"MidtoLateFirst","OtherCollege","Western"
"519",10910,22,"MidtoLateFirst","OtherCollege","Western"
"520",12564,23,"MidtoLateFirst","OtherCollege","Western"
"521",4145,24,"MidtoLateFirst","OtherCollege","Western"
"522",28009,25,"MidtoLateFirst","NonCollegiate","Eastern"
"523",752,26,"MidtoLateFirst","OtherCollege","Western"
