"","total_games_played","overall_pick","pick_bucket","educational_prestige","team_conference"
"1585",113,23,"MidtoLateFirst","NonCollegiate","Eastern"
"1586",328,24,"MidtoLateFirst","NonCollegiate","Eastern"
"1587",21,25,"MidtoLateFirst","OtherCollege","Western"
"1588",256,26,"MidtoLateFirst","NonCollegiate","Eastern"
"1589",400,27,"MidtoLateFirst","OtherCollege","Eastern"
"1590",148,28,"MidtoLateFirst","PowerSchool","Western"
"1591",320,29,"MidtoLateFirst","OtherCollege","Western"
"1592",199,30,"MidtoLateFirst","OtherCollege","Western"
"1593",107,31,"SecondRound","OtherCollege","Eastern"
"1594",360,32,"SecondRound","NonCollegiate","Western"
"1595",183,33,"SecondRound","PowerSchool","Western"
"1596",133,34,"SecondRound","PowerSchool","Western"
"1598",333,36,"SecondRound","OtherCollege","Eastern"
"1599",6,37,"SecondRound","PowerSchool","Western"
"1600",199,38,"SecondRound","OtherCollege","Eastern"
"1602",7,40,"SecondRound","OtherCollege","Western"
"1603",19,41,"SecondRound","OtherCollege","Eastern"
"1604",89,42,"SecondRound","OtherCollege","Western"
"1605",19,43,"SecondRound","NonCollegiate","Western"
"1607",26,45,"SecondRound","OtherCollege","Eastern"
"1608",22,46,"SecondRound","OtherCollege","Western"
"1609",243,47,"SecondRound","OtherCollege","Eastern"
"1610",98,48,"SecondRound","NonCollegiate","Eastern"
"1611",9,49,"SecondRound","OtherCollege","Eastern"
"1612",305,50,"SecondRound","OtherCollege","Eastern"
"1613",3,51,"SecondRound","OtherCollege","Eastern"
"1614",18,52,"SecondRound","OtherCollege","Western"
"1615",13,53,"SecondRound","NonCollegiate","Western"
"1616",58,54,"SecondRound","OtherCollege","Eastern"
"1617",5,55,"SecondRound","OtherCollege","Eastern"
"1618",25,56,"SecondRound","PowerSchool","Western"
"1620",202,58,"SecondRound","OtherCollege","Eastern"
"1622",112,60,"SecondRound","OtherCollege","Western"
"1623",131,1,"Top5","OtherCollege","Eastern"
"1624",252,2,"Top5","PowerSchool","Western"
"1625",365,3,"Top5","PowerSchool","Eastern"
"1626",291,4,"Top5","PowerSchool","Western"
"1627",322,5,"Top5","PowerSchool","Western"
"1628",136,6,"Lottery","OtherCollege","Eastern"
"1629",282,7,"Lottery","OtherCollege","Western"
"1630",269,8,"Lottery","NonCollegiate","Eastern"
"1631",216,9,"Lottery","OtherCollege","Western"
"1632",182,10,"Lottery","OtherCollege","Western"
"1633",309,11,"Lottery","PowerSchool","Eastern"
"1634",297,12,"Lottery","PowerSchool","Eastern"
"1635",345,13,"Lottery","PowerSchool","Western"
"1636",343,14,"Lottery","PowerSchool","Eastern"
"1637",255,15,"MidtoLateFirst","OtherCollege","Western"
"1638",22,16,"MidtoLateFirst","OtherCollege","Eastern"
"1639",146,17,"MidtoLateFirst","OtherCollege","Eastern"
"1640",146,18,"MidtoLateFirst","PowerSchool","Eastern"
"1641",293,19,"MidtoLateFirst","OtherCollege","Eastern"
"1642",142,20,"MidtoLateFirst","PowerSchool","Western"
"1643",204,21,"MidtoLateFirst","NonCollegiate","Western"
"1644",341,22,"MidtoLateFirst","OtherCollege","Eastern"
"1645",301,23,"MidtoLateFirst","PowerSchool","Eastern"
"1646",26,24,"MidtoLateFirst","OtherCollege","Western"
"1647",28,25,"MidtoLateFirst","NonCollegiate","Eastern"
"1648",75,26,"MidtoLateFirst","OtherCollege","Western"
"1649",342,27,"MidtoLateFirst","OtherCollege","Eastern"
"1650",167,28,"MidtoLateFirst","OtherCollege","Western"
"1651",263,29,"MidtoLateFirst","OtherCollege","Western"
"1652",296,30,"MidtoLateFirst","PowerSchool","Western"
"1653",213,31,"SecondRound","PowerSchool","Eastern"
"1654",79,32,"SecondRound","OtherCollege","Western"
"1655",226,33,"SecondRound","OtherCollege","Eastern"
"1656",103,34,"SecondRound","PowerSchool","Western"
"1657",85,35,"SecondRound","OtherCollege","Eastern"
"1658",51,36,"SecondRound","NonCollegiate","Eastern"
"1659",284,37,"SecondRound","OtherCollege","Eastern"
"1660",161,38,"SecondRound","OtherCollege","Eastern"
"1661",56,39,"SecondRound","OtherCollege","Eastern"
"1662",207,40,"SecondRound","OtherCollege","Western"
"1663",104,41,"SecondRound","OtherCollege","Eastern"
"1664",170,42,"SecondRound","PowerSchool","Western"
"1665",165,43,"SecondRound","NonCollegiate","Western"
"1666",213,44,"SecondRound","OtherCollege","Eastern"
"1667",272,45,"SecondRound","OtherCollege","Western"
"1668",264,46,"SecondRound","OtherCollege","Eastern"
"1669",14,47,"SecondRound","PowerSchool","Eastern"
"1670",160,48,"SecondRound","OtherCollege","Eastern"
"1671",70,49,"SecondRound","NonCollegiate","Western"
"1673",280,51,"SecondRound","OtherCollege","Western"
"1674",108,52,"SecondRound","OtherCollege","Western"
"1675",47,53,"SecondRound","OtherCollege","Eastern"
"1676",20,54,"SecondRound","OtherCollege","Western"
